,lat,lon,mask
636,-88.1151809692383,75.0,False
637,-88.1151809692383,76.25,False
638,-88.1151809692383,77.5,False
639,-88.1151809692383,78.75,False
640,-88.1151809692383,80.0,False
641,-88.1151809692383,81.25,False
642,-88.1151809692383,82.5,False
643,-88.1151809692383,83.75,False
644,-88.1151809692383,85.0,False
645,-88.1151809692383,86.25,False
646,-88.1151809692383,87.5,False
647,-88.1151809692383,88.75,False
648,-88.1151809692383,90.0,False
649,-88.1151809692383,91.25,False
650,-88.1151809692383,92.5,False
651,-88.1151809692383,93.75,False
652,-88.1151809692383,95.0,False
653,-88.1151809692383,96.25,False
654,-88.1151809692383,97.5,False
655,-88.1151809692383,98.75,False
656,-88.1151809692383,100.0,False
657,-88.1151809692383,101.25,False
658,-88.1151809692383,102.5,False
659,-88.1151809692383,103.75,False
660,-88.1151809692383,105.0,False
661,-88.1151809692383,106.25,False
662,-88.1151809692383,107.5,False
663,-88.1151809692383,108.75,False
664,-88.1151809692383,110.0,False
665,-88.1151809692383,111.25,False
666,-88.1151809692383,112.5,False
667,-88.1151809692383,113.75,False
668,-88.1151809692383,115.0,False
669,-88.1151809692383,116.25,False
670,-88.1151809692383,117.5,False
671,-88.1151809692383,118.75,False
672,-88.1151809692383,120.0,False
673,-88.1151809692383,121.25,False
674,-88.1151809692383,122.5,False
675,-88.1151809692383,123.75,False
676,-88.1151809692383,125.0,False
677,-88.1151809692383,126.25,False
678,-88.1151809692383,127.5,False
679,-88.1151809692383,128.75,False
680,-88.1151809692383,130.0,False
681,-88.1151809692383,131.25,False
682,-88.1151809692383,132.5,False
683,-88.1151809692383,133.75,False
684,-88.1151809692383,135.0,False
685,-88.1151809692383,136.25,False
686,-88.1151809692383,137.5,False
687,-88.1151809692383,138.75,False
688,-88.1151809692383,140.0,False
689,-88.1151809692383,141.25,False
690,-88.1151809692383,142.5,False
691,-88.1151809692383,143.75,False
692,-88.1151809692383,145.0,False
693,-88.1151809692383,146.25,False
694,-88.1151809692383,147.5,False
695,-88.1151809692383,148.75,False
696,-88.1151809692383,150.0,False
697,-88.1151809692383,151.25,False
698,-88.1151809692383,152.5,False
699,-88.1151809692383,153.75,False
700,-88.1151809692383,155.0,False
701,-88.1151809692383,156.25,False
702,-88.1151809692383,157.5,False
703,-88.1151809692383,158.75,False
704,-88.1151809692383,160.0,False
705,-88.1151809692383,161.25,False
706,-88.1151809692383,162.5,False
707,-88.1151809692383,163.75,False
708,-88.1151809692383,165.0,False
709,-88.1151809692383,166.25,False
710,-88.1151809692383,167.5,False
711,-88.1151809692383,168.75,False
712,-88.1151809692383,170.0,False
713,-88.1151809692383,171.25,False
714,-88.1151809692383,172.5,False
715,-88.1151809692383,173.75,False
716,-88.1151809692383,175.0,False
717,-88.1151809692383,176.25,False
718,-88.1151809692383,177.5,False
719,-88.1151809692383,178.75,False
720,-88.1151809692383,180.0,False
721,-88.1151809692383,181.25,False
722,-88.1151809692383,182.5,False
723,-88.1151809692383,183.75,False
724,-88.1151809692383,185.0,False
725,-88.1151809692383,186.25,False
726,-88.1151809692383,187.5,False
727,-88.1151809692383,188.75,False
728,-88.1151809692383,190.0,False
729,-88.1151809692383,191.25,False
730,-88.1151809692383,192.5,False
731,-88.1151809692383,193.75,False
732,-88.1151809692383,195.0,False
733,-88.1151809692383,196.25,False
734,-88.1151809692383,197.5,False
735,-88.1151809692383,198.75,False
736,-88.1151809692383,200.0,False
737,-88.1151809692383,201.25,False
738,-88.1151809692383,202.5,False
739,-88.1151809692383,203.75,False
740,-88.1151809692383,205.0,False
741,-88.1151809692383,206.25,False
742,-88.1151809692383,207.5,False
743,-88.1151809692383,208.75,False
744,-88.1151809692383,210.0,False
745,-88.1151809692383,211.25,False
746,-88.1151809692383,212.5,False
747,-88.1151809692383,213.75,False
748,-88.1151809692383,215.0,False
749,-88.1151809692383,216.25,False
750,-88.1151809692383,217.5,False
751,-88.1151809692383,218.75,False
752,-88.1151809692383,220.0,False
753,-88.1151809692383,221.25,False
754,-88.1151809692383,222.5,False
755,-88.1151809692383,223.75,False
756,-88.1151809692383,225.0,False
757,-88.1151809692383,226.25,False
758,-88.1151809692383,227.5,False
759,-88.1151809692383,228.75,False
760,-88.1151809692383,230.0,False
761,-88.1151809692383,231.25,False
762,-88.1151809692383,232.5,False
763,-88.1151809692383,233.75,False
764,-88.1151809692383,235.0,False
765,-88.1151809692383,236.25,False
766,-88.1151809692383,237.5,False
767,-88.1151809692383,238.75,False
768,-88.1151809692383,240.0,False
